,cv_id,full_name,phone,email,gender,date_of_birth,nationality,city,province,education_level,institution,graduation_year,major,certifications,languages,language_proficiency,total_years_experience,current_job_title,employment_status,preferred_job_type,preferred_location,salary_expectation_min,salary_expectation_max,availability,skills_technical,skills_soft,work_experience_json,projects_json,references_json,resume_quality_score,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
57,58,Regina Nkole,261000000000.0,regina.nkole@email.com,Female,24/05/1995,Zambian,Chilanga,Lusaka,Diploma,Lusaka Business College,2014,Public Relations,"Media Relations,Event Management","English,Nyanja",Intermediate,3,PR Assistant,Employed,Full-time,Lusaka,6000,9000,2 weeks,"Media Relations,Content Creation,Event Planning","Communication,Creativity,Networking","[{""title"":""PR Assistant""","company:""Zambia Tourism Agency""","location:""Lusaka""","start_date:""2017-04""","end_date:""Present""","description:""Support public relations activities""","achievements:[""Increased media coverage by 40%""",Assisted in successful events]},"{""title"":""Communications Intern""","company:""Proflight Zambia""","location:""Lusaka""","start_date:""2014-08""","end_date:""2017-03""","description:""Supported communications team""","achievements:[""Improved social media presence""",Assisted with press releases]}],"[{""name"":""Tourism Promotion Campaign""","description:""Destination marketing""","technologies:""Social Media","Media Relations""","duration:""4 months""}]","[{""name"":""Benson Kampamba""","relationship:""PR Manager""","phone:""+260977901238""","email:""benson.kampamba@zambiatourism.com""}]",6,
58,59,Benson Chali,261000000000.0,benson.chali@email.com,Male,12/09/1990,Zambian,Kafue,Lusaka,Bachelor's,University of Lusaka,2012,Supply Chain,"Logistics,Inventory Management","English,Nyanja",Fluent,7,Supply Chain Officer,Employed,Full-time,Lusaka,11000,16000,3 weeks,"Inventory Management,Logistics,Procurement","Organization,Problem-solving,Negotiation","[{""title"":""Supply Chain Officer""","company:""Trade Kings""","location:""Lusaka""","start_date:""2015-10""","end_date:""Present""","description:""Manage supply chain operations""","achievements:[""Reduced inventory costs by 20%""",Improved delivery reliability]},"{""title"":""Logistics Coordinator""","company:""Bidvest Panalpina""","location:""Lusaka""","start_date:""2012-09""","end_date:""2015-09""","description:""Coordinated logistics operations""","achievements:[""Improved shipping efficiency""",Reduced transportation costs]}],"[{""name"":""Supply Chain Optimization""","description:""Logistics improvement project""","technologies:""ERP Systems","Inventory Management""","duration:""7 months""}]","[{""name"":""Clement Muntanga""","relationship:""Supply Chain Manager""","phone:""+260955012349""","email:""clement.muntanga@tradekings.com""}]",8,
59,60,Clement Besa,261000000000.0,clement.besa@email.com,Male,30/06/1987,Zambian,Chingola,Copperbelt,Diploma,Chingola Technical School,2006,Drafting,"CAD Operator,Technical Drawing","English,Bemba",Intermediate,13,CAD Technician,Employed,Full-time,Copperbelt,10000,14000,1 month,"AutoCAD,SolidWorks,Technical Drawing","Attention to Detail,Technical Skills,Teamwork","[{""title"":""CAD Technician""","company:""Konkola Copper Mines""","location:""Chingola""","start_date:""2013-07""","end_date:""Present""","description:""Create technical drawings and designs""","achievements:[""Improved drawing accuracy""",Reduced design errors by 35%]},"{""title"":""Drafting Assistant""","company:""Various Engineering Firms""","location:""Copperbelt""","start_date:""2006-08""","end_date:""2013-06""","description:""Prepared technical drawings""","achievements:[""Mastered multiple CAD software""",Improved drafting efficiency]}],"[{""name"":""Plant Layout Design""","description:""Facility design project""","technologies:""AutoCAD","3D Modeling""","duration:""5 months""}]","[{""name"":""Alfred Nakamba""","relationship:""Chief Draughtsman""","phone:""+260966123461""","email:""alfred.nakamba@kcm.co.zm""}]",7,
61,62,Fridah Mwiya,261000000000.0,fridah.mwiya@email.com,Female,03/07/1994,Zambian,Kabwe,Central,Diploma,Kabwe Nursing School,2013,Nursing,"Nursing License,Patient Care","English,Bemba",Intermediate,4,Nurse,Employed,Full-time,Central,7000,10000,1 month,"Patient Care,Medication,Health Education","Compassion,Communication,Teamwork","[{""title"":""Staff Nurse""","company:""Kabwe General Hospital""","location:""Kabwe""","start_date:""2016-11""","end_date:""Present""","description:""Provide nursing care to patients""","achievements:[""Improved patient satisfaction""",Reduced medication errors]},"{""title"":""Nursing Intern""","company:""University Teaching Hospital""","location:""Lusaka""","start_date:""2013-08""","end_date:""2016-10""","description:""Learned nursing practices""","achievements:[""Completed internship successfully""",Improved clinical skills]}],"[{""name"":""Patient Care Improvement""","description:""Healthcare quality initiative""","technologies:""Medical Equipment","Health Records""","duration:""Ongoing""}]","[{""name"":""Justin Kafula""","relationship:""Nursing Officer""","phone:""+260955345683""","email:""justin.kafula@kgh.gov.zm""}]",6,
62,63,Justin Shawa,261000000000.0,justin.shawa@email.com,Male,25/04/1989,Zambian,Ndola,Copperbelt,Bachelor's,Copperbelt University,2010,Chemical Engineering,"Process Engineering,Safety","English,Bemba",Fluent,9,Process Engineer,Employed,Full-time,Copperbelt,17000,23000,1 month,"Process Optimization,Chemical Processes,Safety","Analytical Thinking,Problem-solving,Leadership","[{""title"":""Process Engineer""","company:""Mopani Copper Mines""","location:""Mufulira""","start_date:""2015-06""","end_date:""Present""","description:""Optimize chemical processes""","achievements:[""Improved process efficiency by 25%""",Reduced chemical usage by 15%]},"{""title"":""Junior Engineer""","company:""Kafue Steel""","location:""Kafue""","start_date:""2010-09""","end_date:""2015-05""","description:""Supported process engineering""","achievements:[""Improved safety procedures""",Enhanced process monitoring]}],"[{""name"":""Process Optimization""","description:""Chemical process improvement""","technologies:""Process Engineering","Simulation""","duration:""10 months""}]","[{""name"":""Aaron Kombe""","relationship:""Chief Engineer""","phone:""+260966456794""","email:""aaron.kombe@mcm.co.zm""}]",9,
64,65,Idah Mumbi,261000000000.0,idah.mumbi@email.com,Female,19/10/1993,Zambian,Kasama,Northern,Bachelor's,Northern University,2014,Education,"Teaching License,Curriculum","English,Bemba",Fluent,5,Primary Teacher,Employed,Full-time,Northern,6500,9500,2 months,"Teaching,Curriculum Development,Assessment","Patience,Creativity,Communication","[{""title"":""Primary Teacher""","company:""Kasama Basic School""","location:""Kasama""","start_date:""2016-09""","end_date:""Present""","description:""Teach primary school students""","achievements:[""Improved student performance""",Developed innovative teaching methods]},"{""title"":""Student Teacher""","company:""Various Schools""","location:""Northern Province""","start_date:""2014-08""","end_date:""2016-08""","description:""Completed teaching practice""","achievements:[""Received excellent evaluations""",Improved classroom management]}],"[{""name"":""Literacy Improvement Program""","description:""Reading skills development""","technologies:""Educational Materials","Assessment""","duration:""Ongoing""}]","[{""name"":""Lawrence Kaonga""","relationship:""Head Teacher""","phone:""+260955678906""","email:""lawrence.kaonga@kbs.edu.zm""}]",6,
65,66,Lawrence Musenge,261000000000.0,lawrence.musenge@email.com,Male,16/05/1988,Zambian,Kitwe,Copperbelt,Master's,Copperbelt University,2010,Mining Engineering,"Mine Planning,Safety Management","English,Bemba",Fluent,9,Mine Planning Engineer,Employed,Full-time,Copperbelt,19000,26000,1 month,"Mine Planning,Surveying,Resource Estimation","Analytical Thinking,Leadership,Technical Skills","[{""title"":""Mine Planning Engineer""","company:""Mopani Copper Mines""","location:""Kitwe""","start_date:""2015-11""","end_date:""Present""","description:""Plan mining operations and development""","achievements:[""Improved mine efficiency by 20%""",Reduced planning errors]},"{""title"":""Junior Mining Engineer""","company:""Konkola Copper Mines""","location:""Chingola""","start_date:""2010-08""","end_date:""2015-10""","description:""Supported mine planning""","achievements:[""Improved survey accuracy""",Enhanced resource modeling]}],"[{""name"":""Mine Optimization Project""","description:""Operational efficiency improvement""","technologies:""Mine Planning Software","GPS""","duration:""12 months""}]","[{""name"":""Margaret Kaumba""","relationship:""Chief Mining Engineer""","phone:""+260966789017""","email:""margaret.kaumba@mcm.co.zm""}]",9,
66,67,Margaret Chibale,261000000000.0,margaret.chibale@email.com,Female,22/07/1990,Zambian,Mongu,Western,Bachelor's,University of Zambia,2011,Social Sciences,"Research Methods,Community Work","English,Lozi",Fluent,8,Social Researcher,Employed,Full-time,Western,10000,14000,3 weeks,"Research,Data Collection,Analysis","Analytical Thinking,Communication,Empathy","[{""title"":""Social Researcher""","company:""University of Zambia""","location:""Mongu""","start_date:""2015-04""","end_date:""Present""","description:""Conduct social research studies""","achievements:[""Published 3 research papers""",Improved research methodologies]},"{""title"":""Research Assistant""","company:""Various Organizations""","location:""Western Province""","start_date:""2011-09""","end_date:""2015-03""","description:""Supported research projects""","achievements:[""Improved data quality""",Enhanced community engagement]}],"[{""name"":""Social Impact Assessment""","description:""Community development research""","technologies:""Research Methods","Data Analysis""","duration:""8 months""}]","[{""name"":""Fredrick Simasiku""","relationship:""Research Director""","phone:""+260977890128""","email:""fredrick.simasiku@unza.zm""}]",8,
67,68,Fredrick Chipulu,261000000000.0,fredrick.chipulu@email.com,Male,14/11/1986,Zambian,Chipata,Eastern,Certificate,Chipata Trades School,2004,Bricklaying,"Masonry,Construction","English,Nyanja",Basic,15,Master Bricklayer,Self-Employed,Contract,Eastern,6000,9000,Immediate,"Bricklaying,Concrete Work,Finishing","Quality Workmanship,Reliability,Team Leadership","[{""title"":""Master Bricklayer""","company:""Chipulu Construction""","location:""Chipata""","start_date:""2010-03""","end_date:""Present""","description:""Run own bricklaying business""","achievements:[""Completed 100+ construction projects""",Known for quality craftsmanship]},"{""title"":""Bricklayer""","company:""Various Contractors""","location:""Eastern Province""","start_date:""2004-05""","end_date:""2010-02""","description:""Worked on construction projects""","achievements:[""Mastered advanced techniques""",Trained 6 apprentices]}],"[{""name"":""Residential Development""","description:""Housing construction project""","technologies:""Traditional and Modern Masonry""","duration:""4 months""}]","[{""name"":""Frank Nyendwa""","relationship:""Client""","phone:""+260955901239""","email:""frank.nyendwa@email.com""}]",6,,
68,69,Frank Kalaba,261000000000.0,frank.kalaba@email.com,Male,07/03/1992,Zambian,Lusaka,Lusaka,Bachelor's,University of Lusaka,2013,Information Systems,"IT Management,Database","English,Nyanja",Fluent,6,Database Administrator,Employed,Full-time,Lusaka,13000,18000,2 weeks,"Database Management,SQL,Backup Systems","Technical Skills,Problem-solving,Attention to Detail","[{""title"":""Database Administrator""","company:""Zambia National Commercial Bank""","location:""Lusaka""","start_date:""2016-07""","end_date:""Present""","description:""Manage database systems and performance""","achievements:[""Improved database performance by 40%""",Reduced downtime by 60%]},"{""title"":""IT Support""","company:""Airtel Zambia""","location:""Lusaka""","start_date:""2013-09""","end_date:""2016-06""","description:""Provided IT support""","achievements:[""Improved system reliability""",Enhanced data security]}],"[{""name"":""Database Migration Project""","description:""System upgrade and migration""","technologies:""SQL","Database Management""","duration:""5 months""}]","[{""name"":""Samson Simbeye""","relationship:""IT Manager""","phone:""+260966012350""","email:""samson.simbeye@zncb.co.zm""}]",8,
69,70,Samson Lombe,261000000000.0,samson.lombe@email.com,Male,29/08/1989,Zambian,Kalulushi,Copperbelt,Diploma,Kitwe Trades Training Institute,2007,Fitting and Turning,"Machining,Precision Work","English,Bemba",Intermediate,12,Fitter and Turner,Employed,Full-time,Copperbelt,10500,14500,1 month,"Machining,Lathe Operation,Precision Work","Technical Skills,Precision,Teamwork","[{""title"":""Fitter and Turner""","company:""Mopani Copper Mines""","location:""Kitwe""","start_date:""2014-10""","end_date:""Present""","description:""Perform precision machining work""","achievements:[""Improved machining accuracy""",Reduced material waste by 25%]},"{""title"":""Apprentice Fitter""","company:""Various Workshops""","location:""Copperbelt""","start_date:""2007-06""","end_date:""2014-09""","description:""Learned fitting and turning""","achievements:[""Mastered precision machining""",Improved production efficiency]}],"[{""name"":""Precision Components""","description:""Custom part manufacturing""","technologies:""Machining Equipment","Measurement""","duration:""Ongoing""}]","[{""name"":""Jonathan Mbulo""","relationship:""Workshop Foreman""","phone:""+260977123462""","email:""jonathan.mbulo@mcm.co.zm""}]",7,
70,71,Jonathan Mundia,261000000000.0,jonathan.mundia@email.com,Male,17/01/1991,Zambian,Choma,Southern,Bachelor's,University of Zambia,2012,Animal Science,"Veterinary Assistant,Livestock","English,Tonga",Fluent,7,Livestock Officer,Employed,Full-time,Southern,8500,12000,2 weeks,"Animal Health,Livestock Management,Breeding","Problem-solving,Communication,Technical Knowledge","[{""title"":""Livestock Officer""","company:""Ministry of Fisheries and Livestock""","location:""Choma""","start_date:""2015-08""","end_date:""Present""","description:""Advise farmers on livestock management""","achievements:[""Improved animal health in assigned area""",Increased livestock productivity]},"{""title"":""Field Assistant""","company:""Zambia National Farmers Union""","location:""Monze""","start_date:""2012-09""","end_date:""2015-07""","description:""Supported livestock programs""","achievements:[""Improved farmer training""",Enhanced disease control]}],"[{""name"":""Livestock Improvement Program""","description:""Animal health and breeding""","technologies:""Veterinary Care","Breeding Methods""","duration:""10 months""}]","[{""name"":""Rabecca Ngandwe""","relationship:""District Livestock Officer""","phone:""+260955234573""","email:""rabecca.ngandwe@gov.zm""}]",7,
71,72,Rabecca Mazimba,261000000000.0,rabecca.mazimba@email.com,Female,23/06/1994,Zambian,Mufumbwe,North-Western,Diploma,Solwezi Business College,2013,Office Skills,"Secretarial,Computer Skills","English,Kaonde",Intermediate,4,Secretary,Employed,Full-time,North-Western,5500,8000,2 weeks,"Typing,Filing,Office Software","Organization,Communication,Discretion","[{""title"":""Secretary""","company:""North-Western Province Administration""","location:""Solwezi""","start_date:""2016-11""","end_date:""Present""","description:""Provide secretarial support""","achievements:[""Improved office organization""",Enhanced document management]},"{""title"":""Office Assistant""","company:""Various Offices""","location:""Mufumbwe""","start_date:""2013-08""","end_date:""2016-10""","description:""Supported office operations""","achievements:[""Improved typing speed and accuracy""",Enhanced customer service]}],"[{""name"":""Office System Improvement""","description:""Administrative process enhancement""","technologies:""Office Software","Filing Systems""","duration:""3 months""}]","[{""name"":""Hildah Mukupa""","relationship:""Office Manager""","phone:""+260966345684""","email:""hildah.mukupa@gov.zm""}]",5,
72,73,Hildah Milambo,261000000000.0,hildah.milambo@email.com,Female,05/04/1988,Zambian,Kabwe,Central,Bachelor's,Zambia Open University,2009,Psychology,"Counseling,Human Resources","English,Bemba",Fluent,10,HR Consultant,Self-Employed,Contract,Central,12000,17000,Immediate,"Recruitment,Training,Employee Relations","Consulting,Communication,Problem-solving","[{""title"":""HR Consultant""","company:""Milambo HR Solutions""","location:""Kabwe""","start_date:""2014-02""","end_date:""Present""","description:""Provide HR consulting services""","achievements:[""Helped 50+ businesses with HR""",Improved client satisfaction]},"{""title"":""HR Officer""","company:""Various Companies""","location:""Central Province""","start_date:""2009-07""","end_date:""2014-01""","description:""Worked in HR roles""","achievements:[""Improved recruitment processes""",Enhanced employee relations]}],"[{""name"":""HR System Implementation""","description:""Human resources development""","technologies:""HR Software","Training Methods""","duration:""6 months""}]","[{""name"":""Benard Mfula""","relationship:""Business Partner""","phone:""+260977456795""","email:""benard.mfula@email.com""}]",8,
73,74,Benard Nyangu,261000000000.0,benard.nyangu@email.com,Male,28/12/1985,Zambian,Sesheke,Western,Certificate,Sesheke Trades School,2003,Carpentry and Joinery,"Woodworking,Furniture Making","English,Lozi",Basic,16,Joiner,Self-Employed,Contract,Western,6500,9500,Immediate,"Joinery,Cabinet Making,Wood Finishing","Craftsmanship,Creativity,Quality Focus","[{""title"":""Master Joiner""","company:""Nyangu Joinery""","location:""Sesheke""","start_date:""2009-08""","end_date:""Present""","description:""Run own joinery business""","achievements:[""Known for high-quality work""",Supplied custom furniture widely]},"{""title"":""Joiner""","company:""Various Workshops""","location:""Western Province""","start_date:""2003-04""","end_date:""2009-07""","description:""Worked as joiner""","achievements:[""Mastered advanced joinery""",Trained 4 apprentices]}],"[{""name"":""Custom Furniture Production""","description:""Handcrafted furniture""","technologies:""Woodworking Tools","Finishing""","duration:""Ongoing""}]","[{""name"":""Sydney Goma""","relationship:""Regular Client""","phone:""+260955567906""","email:""sydney.goma@email.com""}]",6,
74,75,Sydney Nsama,261000000000.0,sydney.nsama@email.com,Male,11/10/1990,Zambian,Chililabombwe,Copperbelt,Bachelor's,Copperbelt University,2011,Metallurgy,"Mineral Processing,Extraction","English,Bemba",Fluent,8,Metallurgist,Employed,Full-time,Copperbelt,16000,22000,1 month,"Mineral Processing,Extraction,Quality Control","Technical Expertise,Problem-solving,Analysis","[{""title"":""Metallurgist""","company:""Konkola Copper Mines""","location:""Chililabombwe""","start_date:""2015-09""","end_date:""Present""","description:""Optimize mineral processing""","achievements:[""Improved recovery rates by 15%""",Reduced processing costs]},"{""title"":""Junior Metallurgist""","company:""Mopani Copper Mines""","location:""Kitwe""","start_date:""2011-08""","end_date:""2015-08""","description:""Supported metallurgical processes""","achievements:[""Improved process monitoring""",Enhanced quality control]}],"[{""name"":""Process Improvement""","description:""Mineral extraction optimization""","technologies:""Process Engineering","Analysis""","duration:""8 months""}]","[{""name"":""Dickson Mukosha""","relationship:""Chief Metallurgist""","phone:""+260966678907""","email:""dickson.mukosha@kcm.co.zm""}]",9,
75,76,Dickson Munkombwe,261000000000.0,dickson.munkombwe@email.com,Male,14/02/1993,Zambian,Livingstone,Southern,Diploma,Livingstone Tourism College,2012,Hospitality,"Hotel Management,Customer Service","English,Tonga",Intermediate,5,Hotel Receptionist,Employed,Full-time,Southern,5000,7500,2 weeks,"Front Desk,Reservations,Customer Service","Communication,Professionalism,Multitasking","[{""title"":""Hotel Receptionist""","company:""Royal Livingstone Hotel""","location:""Livingstone""","start_date:""2015-07""","end_date:""Present""","description:""Handle guest check-in and services""","achievements:[""Improved guest satisfaction""",Reduced check-in time]},"{""title"":""Receptionist""","company:""Various Hotels""","location:""Livingstone""","start_date:""2012-06""","end_date:""2015-06""","description:""Worked in hospitality""","achievements:[""Improved customer service skills""",Enhanced reservation management]}],"[{""name"":""Guest Service Improvement""","description:""Hospitality quality enhancement""","technologies:""Hotel Software","Customer Service""","duration:""Ongoing""}]","[{""name"":""Febby Mugala""","relationship:""Front Office Manager""","phone:""+260977789018""","email:""febby.mugala@royalhotel.com""}]",6,
76,77,Febby Chabu,261000000000.0,febby.chabu@email.com,Female,06/09/1995,Zambian,Mansa,Luapula,Certificate,Mansa Technical School,2013,Hair Dressing,"Cosmetology,Beauty Therapy","English,Bemba",Basic,2,Hair Stylist,Self-Employed,Part-time,Luapula,4000,6000,Immediate,"Hair Styling,Coloring,Extensions","Creativity,Customer Service,Artistic","[{""title"":""Hair Stylist""","company:""Febby's Beauty Salon""","location:""Mansa""","start_date:""2016-03""","end_date:""Present""","description:""Run own hair styling business""","achievements:[""Built loyal customer base""",Known for creative styles]},"{""title"":""Beauty Assistant""","company:""Glamour Salon""","location:""Mansa""","start_date:""2013-05""","end_date:""2016-02""","description:""Learned hair styling""","achievements:[""Mastered various techniques""",Improved customer service]}],"[{""name"":""Bridal Hair Services""","description:""Wedding hair styling""","technologies:""Hair Products","Styling Tools""","duration:""Ongoing""}]","[{""name"":""Mildred Lupiya""","relationship:""Mentor""","phone:""+260955890129""","email:""mildred.lupiya@email.com""}]",4,
77,78,Mildred Mupeta,261000000000.0,mildred.mupeta@email.com,Female,31/07/1992,Zambian,Kasama,Northern,Bachelor's,Northern University,2013,Education,"Teaching License,Special Needs","English,Bemba",Fluent,4,Special Needs Teacher,Employed,Full-time,Northern,7000,10000,1 month,"Special Education,Individualized Planning","Patience,Adaptability,Communication","[{""title"":""Special Needs Teacher""","company:""Kasama Special School""","location:""Kasama""","start_date:""2016-08""","end_date:""Present""","description:""Teach students with special needs""","achievements:[""Improved student outcomes""",Developed individualized plans]},"{""title"":""Teacher""","company:""Various Schools""","location:""Northern Province""","start_date:""2013-09""","end_date:""2016-07""","description:""Taught in regular classrooms""","achievements:[""Improved teaching methods""",Enhanced student engagement]}],"[{""name"":""Inclusive Education Program""","description:""Special needs integration""","technologies:""Educational Materials","Assessment""","duration:""Ongoing""}]","[{""name"":""Naomi Choongo""","relationship:""School Principal""","phone:""+260966901240""","email:""naomi.choongo@kss.edu.zm""}]",7,
78,79,Naomi Mbao,261000000000.0,naomi.mbao@email.com,Female,18/03/1989,Zambian,Chipata,Eastern,Diploma,Chipata Business College,2008,Business Management,"Entrepreneurship,Marketing","English,Nyanja",Intermediate,9,Business Owner,Self-Employed,Full-time,Eastern,8000,12000,Immediate,"Business Management,Marketing,Finance","Entrepreneurship,Leadership,Decision-making","[{""title"":""Business Owner""","company:""Mbao Enterprises""","location:""Chipata""","start_date:""2012-05""","end_date:""Present""","description:""Run retail and wholesale business""","achievements:[""Grew business significantly""",Employed 5 staff members]},"{""title"":""Shop Manager""","company:""Various Businesses""","location:""Eastern Province""","start_date:""2008-04""","end_date:""2012-04""","description:""Managed retail operations""","achievements:[""Improved sales performance""",Enhanced customer service]}],"[{""name"":""Business Expansion""","description:""Retail growth initiative""","technologies:""Business Management","Marketing""","duration:""Ongoing""}]","[{""name"":""Jenipher Maambo""","relationship:""Business Partner""","phone:""+260977012351""","email:""jenipher.maambo@email.com""}]",6,
79,80,Jenipher Ng'uni,261000000000.0,jenipher.nguni@email.com,Female,09/12/1994,Zambian,Solwezi,North-Western,Certificate,Solwezi Technical School,2012,Computer Skills,"Basic IT,Office Software","English,Kaonde",Basic,3,Data Entry Clerk,Employed,Full-time,North-Western,4500,6500,2 weeks,"Data Entry,Office Software,Records","Attention to Detail,Organization,Accuracy","[{""title"":""Data Entry Clerk""","company:""North-Western Province Administration""","location:""Solwezi""","start_date:""2015-10""","end_date:""Present""","description:""Enter and manage data""","achievements:[""Improved data accuracy""",Increased processing speed]},"{""title"":""Office Assistant""","company:""Various Offices""","location:""Solwezi""","start_date:""2012-06""","end_date:""2015-09""","description:""Supported office operations""","achievements:[""Improved computer skills""",Enhanced office efficiency]}],"[{""name"":""Data Management System""","description:""Records digitization project""","technologies:""Office Software","Data Entry""","duration:""4 months""}]","[{""name"":""Veronica Miyoba""","relationship:""Office Supervisor""","phone:""+260955123463""","email:""veronica.miyoba@gov.zm""}]",5,
80,81,Veronica Musukwa,261000000000.0,veronica.musukwa@email.com,Female,22/05/1991,Zambian,Kalulushi,Copperbelt,Bachelor's,Copperbelt University,2012,Environmental Health,"Public Health,Sanitation","English,Bemba",Fluent,7,Environmental Health Officer,Employed,Full-time,Copperbelt,10000,14000,3 weeks,"Environmental Health,Sanitation,Inspection","Analytical Thinking,Communication,Compliance","[{""title"":""Environmental Health Officer""","company:""Ministry of Health""","location:""Kalulushi""","start_date:""2015-11""","end_date:""Present""","description:""Inspect and ensure environmental health""","achievements:[""Improved sanitation standards""",Reduced health hazards]},"{""title"":""Health Inspector""","company:""Various Municipalities""","location:""Copperbelt""","start_date:""2012-08""","end_date:""2015-10""","description:""Conducted health inspections""","achievements:[""Improved inspection efficiency""",Enhanced public awareness]}],"[{""name"":""Sanitation Improvement""","description:""Public health initiative""","technologies:""Inspection Methods","Health Education""","duration:""8 months""}]","[{""name"":""Jennipher Milimo""","relationship:""Health Director""","phone:""+260966234574""","email:""jennipher.milimo@gov.zm""}]",7,
81,82,Jennipher Mwelwa,261000000000.0,jennipher.mwelwa@email.com,Female,13/08/1988,Zambian,Mongu,Western,Master's,University of Zambia,2010,Gender Studies,"Development,Policy Analysis","English,Lozi",Fluent,9,Gender Officer,Employed,Full-time,Western,12000,17000,1 month,"Gender Analysis,Program Management,Training","Advocacy,Communication,Leadership","[{""title"":""Gender Officer""","company:""Ministry of Gender""","location:""Mongu""","start_date:""2014-07""","end_date:""Present""","description:""Coordinate gender programs and policies""","achievements:[""Improved gender mainstreaming""",Enhanced women's empowerment]},"{""title"":""Program Officer""","company:""Various NGOs""","location:""Western Province""","start_date:""2010-09""","end_date:""2014-06""","description:""Implemented development programs""","achievements:[""Improved program effectiveness""",Enhanced community participation]}],"[{""name"":""Gender Equality Program""","description:""Women's empowerment initiative""","technologies:""Gender Analysis","Training Methods""","duration:""12 months""}]","[{""name"":""Lewis Mutambo""","relationship:""Director of Gender""","phone:""+260977345685""","email:""lewis.mutambo@gov.zm""}]",8,
82,83,Lewis Namonje,261000000000.0,lewis.namonje@email.com,Male,26/11/1993,Zambian,Kabwe,Central,Diploma,Kabwe Technical College,2012,Electrical Installation,"Electrician,Wireman","English,Bemba",Intermediate,5,Electrician,Self-Employed,Contract,Central,7500,11000,Immediate,"Electrical Installation,Maintenance,Testing","Technical Skills,Safety Focus,Reliability","[{""title"":""Electrician""","company:""Lewis Electrical Services""","location:""Kabwe""","start_date:""2015-09""","end_date:""Present""","description:""Run own electrical business""","achievements:[""Completed 200+ electrical jobs""",Maintained safety record]},"{""title"":""Apprentice Electrician""","company:""Various Contractors""","location:""Central Province""","start_date:""2012-05""","end_date:""2015-08""","description:""Learned electrical work""","achievements:[""Mastered electrical systems""",Improved installation techniques]}],"[{""name"":""Electrical System Installation""","description:""Residential and commercial work""","technologies:""Electrical Systems","Testing Equipment""","duration:""Ongoing""}]","[{""name"":""Esnart Chimfwembe""","relationship:""Client""","phone:""+260955456796""","email:""esnart.chimfwembe@email.com""}]",6,
83,84,Esnart Kapambwe,261000000000.0,esnart.kapambwe@email.com,Female,07/04/1990,Zambian,Chinsali,Muchinga,Bachelor's,Muchinga University,2011,Development Economics,"Project Management,Microfinance","English,Bemba",Fluent,8,Microfinance Officer,Employed,Full-time,Muchinga,11000,16000,2 weeks,"Microfinance,Loan Management,Training","Financial Analysis,Communication,Empathy","[{""title"":""Microfinance Officer""","company:""FINCA Zambia""","location:""Chinsali""","start_date:""2015-06""","end_date:""Present""","description:""Manage microfinance operations""","achievements:[""Improved loan recovery rate""",Increased client base by 40%]},"{""title"":""Field Officer""","company:""Various MFIs""","location:""Muchinga Province""","start_date:""2011-08""","end_date:""2015-05""","description:""Supported microfinance activities""","achievements:[""Improved client training""",Enhanced loan management]}],"[{""name"":""Financial Inclusion Program""","description:""Microfinance expansion""","technologies:""Financial Services","Training""","duration:""9 months""}]","[{""name"":""Fred Simwinga""","relationship:""Branch Manager""","phone:""+260966567908""","email:""fred.simwinga@finca.org.zm""}]",7,
84,85,Fred Munsanje,261000000000.0,fred.munsanje@email.com,Male,19/02/1987,Zambian,Mpongwe,Copperbelt,Certificate,Mpongwe Trades School,2005,Plant Operation,"Machine Operation,Safety","English,Bemba",Basic,12,Plant Operator,Employed,Full-time,Copperbelt,10000,14000,1 month,"Plant Operation,Equipment Monitoring,Safety","Technical Skills,Attention to Detail,Teamwork","[{""title"":""Plant Operator""","company:""Mopani Copper Mines""","location:""Mufulira""","start_date:""2012-08""","end_date:""Present""","description:""Operate processing plant equipment""","achievements:[""Improved operational efficiency""",Maintained safety standards]},"{""title"":""Assistant Operator""","company:""Various Plants""","location:""Copperbelt""","start_date:""2005-04""","end_date:""2012-07""","description:""Learned plant operations""","achievements:[""Mastered multiple systems""",Improved monitoring skills]}],"[{""name"":""Process Optimization""","description:""Plant efficiency improvement""","technologies:""Process Control","Monitoring""","duration:""6 months""}]","[{""name"":""Peggy Katebe""","relationship:""Shift Supervisor""","phone:""+260977678909""","email:""peggy.katebe@mcm.co.zm""}]",7,
