cv_id,full_name,phone,email,gender,date_of_birth,nationality,city,province,education_level,institution,graduation_year,major,certifications,languages,language_proficiency,total_years_experience,current_job_title,employment_status,preferred_job_type,preferred_location,salary_expectation_min,salary_expectation_max,availability,skills_technical,skills_soft,work_experience_json,projects_json,references_json,resume_quality_score,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
148,Benny Chitambo,261000000000.0,benny.chitambo@email.com,Male,20/07/1987,Zambian,Mongu,Western,Certificate,Mongu Technical School,2005,Carpentry,"Woodworking,Construction","English,Lozi",Basic,12,Master Carpenter,Self-Employed,Contract,Western,6500,9500,Immediate,"Carpentry,Construction,Finishing","Craftsmanship,Reliability,Quality Work","[{""title"":""Master Carpenter""","company:""Chitambo Woodworks""","location:""Mongu""","start_date:""2009-08""","end_date:""Present""","description:""Run own carpentry business""","achievements:[""Completed 150+ projects""",Known for quality craftsmanship]},"{""title"":""Carpenter""","company:""Various Contractors""","location:""Western Province""","start_date:""2005-03""","end_date:""2009-07""","description:""Worked as carpenter""","achievements:[""Mastered advanced techniques""",Trained 3 apprentices]}],"[{""name"":""Construction Projects""","description:""Residential and commercial work""","technologies:""Woodworking Tools","Construction""","duration:""Ongoing""}]","[{""name"":""Happy Hara""","relationship:""Regular Client""","phone:""+260966012358""","email:""happy.hara@email.com""}]",7,
149,Happy Nanyinza,261000000000.0,happy.nanyinza@email.com,Male,29/04/1993,Zambian,Lusaka,Lusaka,Bachelor's,University of Lusaka,2014,Information Technology,"Network Administration,Security","English,Nyanja",Fluent,1,IT Support Specialist,Employed,Full-time,Lusaka,8000,11500,2 weeks,"Network Support,Hardware,Software","Technical Skills,Problem-solving,Customer Service","[{""title"":""IT Support Specialist""","company:""Ministry of Education""","location:""Lusaka""","start_date:""2015-09""","end_date:""Present""","description:""Provide IT support""","achievements:[""Improved system reliability""",Enhanced user satisfaction]},"{""title"":""IT Intern""","company:""Various Organizations""","location:""Lusaka""","start_date:""2014-06""","end_date:""2015-08""","description:""Completed IT training""","achievements:[""Improved technical skills""",Enhanced support capabilities]}],"[{""name"":""IT System Implementation""","description:""Technology infrastructure""","technologies:""Network Systems","Hardware""","duration:""4 months""}]","[{""name"":""Prisca Khondowe""","relationship:""IT Manager""","phone:""+260977123471""","email:""prisca.khondowe@gov.zm""}]",4,
150,Prisca Bulaya,261000000000.0,prisca.bulaya@email.com,Female,18/12/1991,Zambian,Ndola,Copperbelt,Diploma,Ndola Business College,2009,Human Resources,"HR Administration,Recruitment","English,Bemba",Intermediate,6,HR Assistant,Employed,Full-time,Copperbelt,8500,12000,3 weeks,"Recruitment,Employee Records,Payroll Support","Organization,Confidentiality,Communication","[{""title"":""HR Assistant""","company:""Konkola Copper Mines""","location:""Chingola""","start_date:""2013-07""","end_date:""Present""","description:""Support HR operations""","achievements:[""Improved record keeping""",Enhanced recruitment process]},"{""title"":""Administrative Clerk""","company:""Various Companies""","location:""Copperbelt""","start_date:""2009-04""","end_date:""2013-06""","description:""Worked in administration""","achievements:[""Improved office skills""",Enhanced customer service]}],"[{""name"":""HR System Implementation""","description:""Human resources digitization""","technologies:""HR Software","Record Management""","duration:""5 months""}]","[{""name"":""Jackson Chiti""","relationship:""HR Manager""","phone:""+260955234581""","email:""jackson.chiti@kcm.co.zm""}]",6,
151,Jackson Kabungo,261000000000.0,jackson.kabungo@email.com,Male,22/06/1989,Zambian,Chipata,Eastern,Certificate,Chipata Trades School,2007,Motor Mechanics,"Automotive Repair,Diagnostics","English,Nyanja",Basic,10,Motor Mechanic,Self-Employed,Contract,Eastern,7000,10500,Immediate,"Engine Repair,Diagnostics,Maintenance","Technical Skills,Problem-solving,Reliability","[{""title"":""Motor Mechanic""","company:""Jackson's Auto Repair""","location:""Chipata""","start_date:""2011-09""","end_date:""Present""","description:""Run own automotive repair business""","achievements:[""Built strong reputation""",Maintained customer loyalty]},"{""title"":""Mechanic""","company:""Various Garages""","location:""Eastern Province""","start_date:""2007-02""","end_date:""2011-08""","description:""Worked as mechanic""","achievements:[""Mastered diagnostic techniques""",Improved repair efficiency]}],"[{""name"":""Vehicle Maintenance Services""","description:""Automotive repair and maintenance""","technologies:""Diagnostic Tools","Repair Equipment""","duration:""Ongoing""}]","[{""name"":""Violet Zgambo""","relationship:""Regular Client""","phone:""+260966345692""","email:""violet.zgambo@email.com""}]",6,
152,Violet Longwani,261000000000.0,violet.longwani@email.com,Female,05/09/1994,Zambian,Livingstone,Southern,Diploma,Livingstone Nursing School,2012,Nursing,"Nursing License,Patient Care","English,Tonga",Intermediate,3,Nurse,Employed,Full-time,Southern,6500,9500,1 month,"Patient Care,Medication,Health Education","Compassion,Communication,Teamwork","[{""title"":""Staff Nurse""","company:""Livingstone General Hospital""","location:""Livingstone""","start_date:""2014-11""","end_date:""Present""","description:""Provide nursing care""","achievements:[""Improved patient outcomes""",Enhanced health education]},"{""title"":""Nursing Intern""","company:""Various Health Facilities""","location:""Southern Province""","start_date:""2012-05""","end_date:""2014-10""","description:""Completed nursing training""","achievements:[""Improved clinical skills""",Enhanced patient care]}],"[{""name"":""Community Health Program""","description:""Public health initiative""","technologies:""Health Education","Patient Care""","duration:""Ongoing""}]","[{""name"":""Robert Sichalwe""","relationship:""Nursing Officer""","phone:""+260977456803""","email:""robert.sichalwe@lgh.gov.zm""}]",5,
153,Robert Chungu,261000000000.0,robert.chungu@email.com,Male,16/03/1990,Zambian,Kitwe,Copperbelt,Bachelor's,Copperbelt University,2011,Electrical Engineering,"Power Systems,Project Management","English,Bemba",Fluent,6,Electrical Engineer,Employed,Full-time,Copperbelt,16000,22000,1 month,"Electrical Design,Power Systems,Projects","Technical Expertise,Problem-solving,Leadership","[{""title"":""Electrical Engineer""","company:""ZESCO""","location:""Kitwe""","start_date:""2015-10""","end_date:""Present""","description:""Design electrical power systems""","achievements:[""Improved system reliability""",Enhanced project delivery]},"{""title"":""Junior Engineer""","company:""Copperbelt Energy Corporation""","location:""Chingola""","start_date:""2011-08""","end_date:""2015-09""","description:""Supported engineering projects""","achievements:[""Improved technical skills""",Enhanced design capabilities]}],"[{""name"":""Power System Upgrade""","description:""Electrical infrastructure improvement""","technologies:""Power Systems","Design Software""","duration:""9 months""}]","[{""name"":""Cecilia Hamoonga""","relationship:""Chief Engineer""","phone:""+260955567922""","email:""cecilia.hamoonga@zesco.co.zm""}]",8,
154,Cecilia Chikumbi,261000000000.0,cecilia.chikumbi@email.com,Female,28/12/1992,Zambian,Mongu,Western,Bachelor's,University of Zambia,2013,Social Work,"Counseling,Community Development","English,Lozi",Fluent,4,Social Worker,Employed,Full-time,Western,8000,11500,1 month,"Counseling,Case Management,Community Work","Empathy,Communication,Cultural Sensitivity","[{""title"":""Social Worker""","company:""Ministry of Community Development""","location:""Mongu""","start_date:""2015-09""","end_date:""Present""","description:""Provide social services and support""","achievements:[""Helped 150+ clients""",Improved community outreach]},"{""title"":""Social Work Intern""","company:""Various Organizations""","location:""Western Province""","start_date:""2013-07""","end_date:""2015-08""","description:""Completed social work training""","achievements:[""Improved counseling skills""",Enhanced case management]}],"[{""name"":""Community Support Program""","description:""Social services initiative""","technologies:""Counseling Methods","Community Engagement""","duration:""Ongoing""}]","[{""name"":""Godfrey Lwando""","relationship:""Program Coordinator""","phone:""+260966678923""","email:""godfrey.lwando@gov.zm""}]",6,
155,Godfrey Liswaniso,261000000000.0,godfrey.liswaniso@email.com,Male,11/07/1988,Zambian,Solwezi,North-Western,Certificate,Solwezi Technical School,2006,Welding,"Welding Certification,Fabrication","English,Kaonde",Basic,11,Welder,Employed,Full-time,North-Western,9000,13000,1 month,"Welding,Fabrication,Metal Work","Technical Skills,Precision,Safety Focus","[{""title"":""Welder""","company:""First Quantum Minerals""","location:""Kalumbila""","start_date:""2012-08""","end_date:""Present""","description:""Perform welding and fabrication""","achievements:[""Improved welding quality""",Enhanced safety compliance]},"{""title"":""Apprentice Welder""","company:""Various Companies""","location:""North-Western""","start_date:""2006-03""","end_date:""2012-07""","description:""Learned welding techniques""","achievements:[""Mastered multiple processes""",Improved fabrication skills]}],"[{""name"":""Structural Fabrication""","description:""Mining equipment fabrication""","technologies:""Welding Equipment","Blueprint Reading""","duration:""7 months""}]","[{""name"":""Gladys Nakanyika""","relationship:""Workshop Supervisor""","phone:""+260977789032""","email:""gladys.nakanyika@fqml.co.zm""}]",7,
156,Gladys Namakando,261000000000.0,gladys.namakando@email.com,Female,14/01/1995,Zambian,Kasama,Northern,Diploma,Kasama Business College,2012,Office Administration,"Secretarial,Computer Skills","English,Bemba",Intermediate,3,Administrative Assistant,Employed,Full-time,Northern,5500,8000,2 weeks,"Office Support,Filing,Communication","Organization,Communication,Teamwork","[{""title"":""Administrative Assistant""","company:""Northern Province Administration""","location:""Kasama""","start_date:""2014-10""","end_date:""Present""","description:""Provide administrative support""","achievements:[""Improved office organization""",Enhanced document management]},"{""title"":""Office Trainee""","company:""Various Offices""","location:""Northern Province""","start_date:""2012-05""","end_date:""2014-09""","description:""Learned office administration""","achievements:[""Improved computer skills""",Enhanced customer service]}],"[{""name"":""Office System Implementation""","description:""Administrative process improvement""","technologies:""Office Software","Filing Systems""","duration:""3 months""}]","[{""name"":""Justina Lengwe""","relationship:""Office Manager""","phone:""+260955890140""","email:""justina.lengwe@gov.zm""}]",4,
157,Justina Msoni,261000000000.0,justina.msoni@email.com,Female,19/08/1991,Zambian,Mazabuka,Southern,Bachelor's,University of Zambia,2012,Agriculture,"Agronomy,Crop Science","English,Tonga",Fluent,5,Agricultural Officer,Employed,Full-time,Southern,8500,12000,2 weeks,"Crop Management,Soil Science,Farmer Training","Teaching,Communication,Problem-solving","[{""title"":""Agricultural Officer""","company:""Ministry of Agriculture""","location:""Mazabuka""","start_date:""2014-09""","end_date:""Present""","description:""Train farmers and promote modern techniques""","achievements:[""Increased crop yields by 25%""",Trained 200+ farmers]},"{""title"":""Field Officer""","company:""Zambia National Farmers Union""","location:""Monze""","start_date:""2012-07""","end_date:""2014-08""","description:""Supported agricultural programs""","achievements:[""Improved farmer adoption rates""",Enhanced training methods]}],"[{""name"":""Sustainable Agriculture Program""","description:""Conservation farming initiative""","technologies:""Soil Testing","Irrigation Methods""","duration:""10 months""}]","[{""name"":""Vincent Lupupa""","relationship:""District Agricultural Officer""","phone:""+260966901249""","email:""vincent.lupupa@gov.zm""}]",7,
158,Vincent Likando,261000000000.0,vincent.likando@email.com,Male,23/04/1987,Zambian,Chililabombwe,Copperbelt,Certificate,Chililabombwe Technical School,2005,Boiler Making,"Boiler Operation,Maintenance","English,Bemba",Basic,12,Boiler Maker,Employed,Full-time,Copperbelt,10000,14000,1 month,"Boiler Making,Repair,Maintenance","Technical Skills,Safety Focus,Teamwork","[{""title"":""Boiler Maker""","company:""Mopani Copper Mines""","location:""Mufulira""","start_date:""2011-07""","end_date:""Present""","description:""Fabricate and repair boilers""","achievements:[""Improved boiler efficiency""",Enhanced safety standards]},"{""title"":""Apprentice Boiler Maker""","company:""Various Companies""","location:""Copperbelt""","start_date:""2005-02""","end_date:""2011-06""","description:""Learned boiler making""","achievements:[""Mastered fabrication techniques""",Improved repair skills]}],"[{""name"":""Boiler System Upgrade""","description:""Industrial boiler improvement""","technologies:""Boiler Systems","Fabrication""","duration:""6 months""}]","[{""name"":""William Nankamba""","relationship:""Workshop Supervisor""","phone:""+260977012359""","email:""william.nankamba@mcm.co.zm""}]",7,
159,William Nondo,261000000000.0,william.nondo@email.com,Male,02/11/1993,Zambian,Lusaka,Lusaka,Bachelor's,University of Lusaka,2014,Information Technology,"Network Administration,Security","English,Nyanja",Fluent,1,IT Support Specialist,Employed,Full-time,Lusaka,8500,12000,2 weeks,"Network Support,Hardware,Software","Technical Skills,Problem-solving,Customer Service","[{""title"":""IT Support Specialist""","company:""Ministry of Finance""","location:""Lusaka""","start_date:""2015-08""","end_date:""Present""","description:""Provide IT support""","achievements:[""Improved system reliability""",Enhanced user satisfaction]},"{""title"":""IT Intern""","company:""Various Organizations""","location:""Lusaka""","start_date:""2014-05""","end_date:""2015-07""","description:""Completed IT training""","achievements:[""Improved technical skills""",Enhanced support capabilities]}],"[{""name"":""IT System Implementation""","description:""Technology infrastructure""","technologies:""Network Systems","Hardware""","duration:""4 months""}]","[{""name"":""Regina Muke""","relationship:""IT Manager""","phone:""+260955123472""","email:""regina.muke@gov.zm""}]",4,
160,Regina Masiye,261000000000.0,regina.masiye@email.com,Female,17/05/1990,Zambian,Ndola,Copperbelt,Bachelor's,Copperbelt University,2011,Chemistry,"Laboratory Analysis,Quality Control","English,Bemba",Fluent,6,Chemist,Employed,Full-time,Copperbelt,13000,18000,1 month,"Chemical Analysis,Laboratory Techniques,QC","Analytical Thinking,Attention to Detail,Precision","[{""title"":""Chemist""","company:""Konkola Copper Mines""","location:""Chingola""","start_date:""2014-09""","end_date:""Present""","description:""Perform chemical analysis""","achievements:[""Improved analysis accuracy""",Enhanced quality control]},"{""title"":""Laboratory Technician""","company:""Mopani Copper Mines""","location:""Kitwe""","start_date:""2011-08""","end_date:""2014-08""","description:""Supported laboratory work""","achievements:[""Improved testing methods""",Enhanced technical skills]}],"[{""name"":""Quality Control Improvement""","description:""Laboratory process enhancement""","technologies:""Laboratory Equipment","Analysis""","duration:""7 months""}]","[{""name"":""Margret Chipango""","relationship:""Laboratory Manager""","phone:""+260966234582""","email:""margret.chipango@kcm.co.zm""}]",8,
161,Margret Mulilo,261000000000.0,margret.mulilo@email.com,Female,08/02/1992,Zambian,Kabwe,Central,Diploma,Kabwe Business College,2010,Office Administration,"Secretarial,Computer Skills","English,Bemba",Intermediate,5,Office Administrator,Employed,Full-time,Central,7000,10000,2 weeks,"Office Management,Records,Communication","Organization,Communication,Teamwork","[{""title"":""Office Administrator""","company:""Central Province Administration""","location:""Kabwe""","start_date:""2013-08""","end_date:""Present""","description:""Manage office operations""","achievements:[""Improved office efficiency""",Enhanced document management]},"{""title"":""Office Assistant""","company:""Various Companies""","location:""Central Province""","start_date:""2010-04""","end_date:""2013-07""","description:""Supported office operations""","achievements:[""Improved computer skills""",Enhanced customer service]}],"[{""name"":""Office System Improvement""","description:""Administrative process enhancement""","technologies:""Office Software","Process Improvement""","duration:""4 months""}]","[{""name"":""Benson Mukonda""","relationship:""Office Manager""","phone:""+260977345693""","email:""benson.mukonda@gov.zm""}]",6,
162,Benson Kasoka,261000000000.0,benson.kasoka@email.com,Male,26/09/1989,Zambian,Livingstone,Southern,Certificate,Livingstone Technical School,2007,Electrical Installation,"Electrician,Wireman","English,Tonga",Basic,10,Electrician,Self-Employed,Contract,Southern,8000,11500,Immediate,"Electrical Installation,Maintenance,Testing","Technical Skills,Safety Focus,Reliability","[{""title"":""Electrician""","company:""Kasoka Electrical Services""","location:""Livingstone""","start_date:""2011-11""","end_date:""Present""","description:""Run own electrical business""","achievements:[""Completed 200+ electrical jobs""",Maintained safety record]},"{""title"":""Apprentice Electrician""","company:""Various Contractors""","location:""Southern Province""","start_date:""2007-03""","end_date:""2011-10""","description:""Learned electrical work""","achievements:[""Mastered electrical systems""",Improved installation techniques]}],"[{""name"":""Electrical System Installation""","description:""Residential and commercial work""","technologies:""Electrical Systems","Testing Equipment""","duration:""Ongoing""}]","[{""name"":""Theresa Kapasa""","relationship:""Client""","phone:""+260955456804""","email:""theresa.kapasa@email.com""}]",7,
163,Theresa Zyambo,261000000000.0,theresa.zyambo@email.com,Female,31/07/1994,Zambian,Chipata,Eastern,Bachelor's,Catholic University,2014,Education,"Teaching License,Curriculum","English,Nyanja",Fluent,1,Teacher,Employed,Full-time,Eastern,6000,9000,2 months,"Teaching,Curriculum Development,Assessment","Patience,Communication,Creativity","[{""title"":""Teacher""","company:""Chipata Basic School""","location:""Chipata""","start_date:""2015-09""","end_date:""Present""","description:""Teach primary school students""","achievements:[""Improved student engagement""",Developed teaching materials]},"{""title"":""Student Teacher""","company:""Various Schools""","location:""Eastern Province""","start_date:""2014-06""","end_date:""2015-08""","description:""Completed teaching practice""","achievements:[""Improved teaching methods""",Enhanced classroom management]}],"[{""name"":""Literacy Improvement Program""","description:""Reading skills development""","technologies:""Educational Materials","Assessment""","duration:""Ongoing""}]","[{""name"":""Clement Chikonde""","relationship:""Head Teacher""","phone:""+260966567924""","email:""clement.chikonde@cbs.edu.zm""}]",4,
164,Clement Lukama,261000000000.0,clement.lukama@email.com,Male,12/12/1988,Zambian,Mongu,Western,Certificate,Mongu Technical School,2006,Carpentry,"Woodworking,Construction","English,Lozi",Basic,11,Carpenter,Self-Employed,Contract,Western,6500,9500,Immediate,"Carpentry,Construction,Finishing","Craftsmanship,Reliability,Quality Work","[{""title"":""Carpenter""","company:""Lukama Woodworks""","location:""Mongu""","start_date:""2010-09""","end_date:""Present""","description:""Run own carpentry business""","achievements:[""Completed 120+ projects""",Known for quality work]},"{""title"":""Apprentice Carpenter""","company:""Various Contractors""","location:""Western Province""","start_date:""2006-02""","end_date:""2010-08""","description:""Learned carpentry""","achievements:[""Mastered woodworking techniques""",Improved business skills]}],"[{""name"":""Construction Projects""","description:""Residential and commercial work""","technologies:""Woodworking Tools","Construction""","duration:""Ongoing""}]","[{""name"":""Alfred Sichinga""","relationship:""Regular Client""","phone:""+260977678925""","email:""alfred.sichinga@email.com""}]",6,
165,Alfred Chimba,261000000000.0,alfred.chimba@email.com,Male,05/04/1991,Zambian,Solwezi,North-Western,Bachelor's,North-Western University,2012,Mining Engineering,"Mine Planning,Safety Management","English,Kaonde",Fluent,5,Mining Engineer,Employed,Full-time,North-Western,17000,23000,1 month,"Mine Planning,Surveying,Resource Estimation","Analytical Thinking,Technical Skills,Leadership","[{""title"":""Mining Engineer""","company:""First Quantum Minerals""","location:""Solwezi""","start_date:""2015-08""","end_date:""Present""","description:""Plan mining operations""","achievements:[""Improved mine efficiency""",Enhanced safety standards]},"{""title"":""Junior Mining Engineer""","company:""Lumwana Mine""","location:""Kalumbila""","start_date:""2012-07""","end_date:""2015-07""","description:""Supported mine planning""","achievements:[""Improved survey accuracy""",Enhanced technical knowledge]}],"[{""name"":""Mine Optimization Project""","description:""Operational efficiency improvement""","technologies:""Mine Planning Software","GPS""","duration:""8 months""}]","[{""name"":""Fridah Simutowe""","relationship:""Chief Mining Engineer""","phone:""+260955789033""","email:""fridah.simutowe@fqml.co.zm""}]",8,
166,Fridah Mushota,261000000000.0,fridah.mushota@email.com,Female,28/10/1993,Zambian,Kitwe,Copperbelt,Diploma,Kitwe Business College,2011,Customer Service,"Communication Skills,CRM","English,Bemba",Intermediate,4,Customer Service Representative,Employed,Full-time,Copperbelt,6000,9000,2 weeks,"Customer Support,Communication,Problem-solving","Patience,Empathy,Service-oriented","[{""title"":""Customer Service Representative""","company:""MTN Zambia""","location:""Kitwe""","start_date:""2014-07""","end_date:""Present""","description:""Handle customer inquiries""","achievements:[""Improved customer satisfaction""",Reduced complaint resolution time]},"{""title"":""Service Agent""","company:""Airtel Zambia""","location:""Kitwe""","start_date:""2011-05""","end_date:""2014-06""","description:""Provided customer support""","achievements:[""Improved communication skills""",Enhanced service quality]}],"[{""name"":""Customer Experience Improvement""","description:""Service quality enhancement""","technologies:""CRM Systems","Communication Tools""","duration:""Ongoing""}]","[{""name"":""Justin Mfune""","relationship:""Team Leader""","phone:""+260966890141""","email:""justin.mfune@mtn.co.zm""}]",5,
167,Justin Chinyemba,261000000000.0,justin.chinyemba@email.com,Male,19/01/1989,Zambian,Mazabuka,Southern,Certificate,Mazabuka Trades School,2007,Motor Mechanics,"Automotive Repair,Diagnostics","English,Tonga",Basic,9,Motor Mechanic,Self-Employed,Contract,Southern,7500,11000,Immediate,"Engine Repair,Diagnostics,Maintenance","Technical Skills,Problem-solving,Reliability","[{""title"":""Motor Mechanic""","company:""Justin's Auto Repair""","location:""Mazabuka""","start_date:""2011-10""","end_date:""Present""","description:""Run own automotive repair business""","achievements:[""Built strong reputation""",Maintained customer loyalty]},"{""title"":""Mechanic""","company:""Various Garages""","location:""Southern Province""","start_date:""2007-03""","end_date:""2011-09""","description:""Worked as mechanic""","achievements:[""Mastered diagnostic techniques""",Improved repair efficiency]}],"[{""name"":""Vehicle Maintenance Services""","description:""Automotive repair and maintenance""","technologies:""Diagnostic Tools","Repair Equipment""","duration:""Ongoing""}]","[{""name"":""Idah Chuma""","relationship:""Regular Client""","phone:""+260977901250""","email:""idah.chuma@email.com""}]",6,
168,Idah Chela,261000000000.0,idah.chela@email.com,Female,07/03/1995,Zambian,Kasama,Northern,Diploma,Kasama Nursing School,2012,Nursing,"Nursing License,Patient Care","English,Bemba",Intermediate,3,Nurse,Employed,Full-time,Northern,7000,10000,1 month,"Patient Care,Medication,Health Education","Compassion,Communication,Teamwork","[{""title"":""Staff Nurse""","company:""Kasama General Hospital""","location:""Kasama""","start_date:""2014-11""","end_date:""Present""","description:""Provide nursing care""","achievements:[""Improved patient outcomes""",Enhanced health education]},"{""title"":""Nursing Intern""","company:""Various Health Facilities""","location:""Northern Province""","start_date:""2012-05""","end_date:""2014-10""","description:""Completed nursing training""","achievements:[""Improved clinical skills""",Enhanced patient care]}],"[{""name"":""Community Health Program""","description:""Public health initiative""","technologies:""Health Education","Patient Care""","duration:""Ongoing""}]","[{""name"":""Lawrence Mazuba""","relationship:""Nursing Officer""","phone:""+260955012360""","email:""lawrence.mazuba@kgh.gov.zm""}]",5,
169,Lawrence Musa,261000000000.0,lawrence.musa@email.com,Male,14/08/1990,Zambian,Lusaka,Lusaka,Bachelor's,University of Zambia,2011,Finance,"Financial Analysis,Accounting","English,Nyanja",Fluent,6,Financial Analyst,Employed,Full-time,Lusaka,14000,20000,3 weeks,"Financial Modeling,Investment Analysis,Excel","Analytical Thinking,Attention to Detail,Strategic","[{""title"":""Financial Analyst""","company:""Bank of Zambia""","location:""Lusaka""","start_date:""2015-09""","end_date:""Present""","description:""Analyze financial markets""","achievements:[""Improved investment returns""",Enhanced risk assessment]},"{""title"":""Finance Officer""","company:""ZANACO""","location:""Lusaka""","start_date:""2011-08""","end_date:""2015-08""","description:""Worked in financial operations""","achievements:[""Improved financial reporting""",Enhanced analysis capabilities]}],"[{""name"":""Investment Portfolio Analysis""","description:""Financial market research""","technologies:""Financial Modeling","Analysis Tools""","duration:""6 months""}]","[{""name"":""Janet Makina""","relationship:""Finance Manager""","phone:""+260966123473""","email:""janet.makina@boz.zm""}]",8,
170,Janet Nyanga,261000000000.0,janet.nyanga@email.com,Female,21/11/1992,Zambian,Mongu,Western,Bachelor's,University of Zambia,2013,Social Work,"Counseling,Community Development","English,Lozi",Fluent,4,Social Worker,Employed,Full-time,Western,8500,12000,1 month,"Counseling,Case Management,Community Work","Empathy,Communication,Cultural Sensitivity","[{""title"":""Social Worker""","company:""Ministry of Community Development""","location:""Mongu""","start_date:""2015-10""","end_date:""Present""","description:""Provide social services and support""","achievements:[""Helped 120+ clients""",Improved community outreach]},"{""title"":""Social Work Intern""","company:""Various Organizations""","location:""Western Province""","start_date:""2013-07""","end_date:""2015-09""","description:""Completed social work training""","achievements:[""Improved counseling skills""",Enhanced case management]}],"[{""name"":""Community Support Program""","description:""Social services initiative""","technologies:""Counseling Methods","Community Engagement""","duration:""Ongoing""}]","[{""name"":""Mable Chiwaya""","relationship:""Program Coordinator""","phone:""+260977234583""","email:""mable.chiwaya@gov.zm""}]",6,
171,Mable Siwila,261000000000.0,mable.siwila@email.com,Female,03/06/1988,Zambian,Ndola,Copperbelt,Certificate,Ndola Technical School,2006,Tailoring,"Fashion Design,Sewing","English,Bemba",Basic,9,Tailor,Self-Employed,Contract,Copperbelt,5500,8500,Immediate,"Tailoring,Pattern Making,Sewing","Creativity,Attention to Detail,Customer Service","[{""title"":""Tailor""","company:""Mable's Fashion""","location:""Ndola""","start_date:""2010-11""","end_date:""Present""","description:""Run own tailoring business""","achievements:[""Known for quality work""",Built loyal customer base]},"{""title"":""Apprentice Tailor""","company:""Various Shops""","location:""Copperbelt""","start_date:""2006-02""","end_date:""2010-10""","description:""Learned tailoring""","achievements:[""Mastered sewing techniques""",Improved design skills]}],"[{""name"":""Custom Clothing Production""","description:""Bespoke garment creation""","technologies:""Sewing Machines","Pattern Design""","duration:""Ongoing""}]","[{""name"":""Samuel Kaputo""","relationship:""Regular Client""","phone:""+260955345694""","email:""samuel.kaputo@email.com""}]",5,
172,Samuel Kayula,261000000000.0,samuel.kayula@email.com,Male,25/02/1991,Zambian,Chipata,Eastern,Bachelor's,Catholic University,2012,Education,"Teaching License,Curriculum","English,Nyanja",Fluent,5,Teacher,Employed,Full-time,Eastern,7500,10500,2 months,"Teaching,Curriculum Development,Assessment","Patience,Communication,Creativity","[{""title"":""Teacher""","company:""Chipata Secondary School""","location:""Chipata""","start_date:""2014-09""","end_date:""Present""","description:""Teach secondary school students""","achievements:[""Improved student performance""",Developed teaching materials]},"{""title"":""Student Teacher""","company:""Various Schools""","location:""Eastern Province""","start_date:""2012-08""","end_date:""2014-08""","description:""Completed teaching practice""","achievements:[""Improved teaching methods""",Enhanced classroom management]}],"[{""name"":""Science Education Program""","description:""STEM education enhancement""","technologies:""Educational Materials","Experiments""","duration:""Ongoing""}]","[{""name"":""Justina Sitwala""","relationship:""Head Teacher""","phone:""+260966456805""","email:""justina.sitwala@css.edu.zm""}]",7,
173,Justina Chilekwa,261000000000.0,justina.chilekwa@email.com,Female,16/09/1994,Zambian,Solwezi,North-Western,Diploma,Solwezi Business College,2012,Office Administration,"Secretarial,Computer Skills","English,Kaonde",Intermediate,3,Administrative Assistant,Employed,Full-time,North-Western,6000,9000,2 weeks,"Office Support,Filing,Communication","Organization,Communication,Teamwork","[{""title"":""Administrative Assistant""","company:""First Quantum Minerals""","location:""Solwezi""","start_date:""2014-10""","end_date:""Present""","description:""Provide administrative support""","achievements:[""Improved office organization""",Enhanced document management]},"{""title"":""Office Trainee""","company:""Various Companies""","location:""North-Western""","start_date:""2012-05""","end_date:""2014-09""","description:""Learned office administration""","achievements:[""Improved computer skills""",Enhanced customer service]}],"[{""name"":""Office System Implementation""","description:""Administrative process improvement""","technologies:""Office Software","Filing Systems""","duration:""3 months""}]","[{""name"":""Davies Nyeleti""","relationship:""Office Manager""","phone:""+260977567926""","email:""davies.nyeleti@fqml.co.zm""}]",4,
174,Davies Katuta,261000000000.0,davies.katuta@email.com,Male,29/04/1989,Zambian,Livingstone,Southern,Certificate,Livingstone Technical School,2007,Electrical Installation,"Electrician,Wireman","English,Tonga",Basic,8,Electrician,Self-Employed,Contract,Southern,8000,11500,Immediate,"Electrical Installation,Maintenance,Testing","Technical Skills,Safety Focus,Reliability","[{""title"":""Electrician""","company:""Katuta Electrical Services""","location:""Livingstone""","start_date:""2011-12""","end_date:""Present""","description:""Run own electrical business""","achievements:[""Completed 150+ electrical jobs""",Maintained safety record]},"{""title"":""Apprentice Electrician""","company:""Various Contractors""","location:""Southern Province""","start_date:""2007-03""","end_date:""2011-11""","description:""Learned electrical work""","achievements:[""Mastered electrical systems""",Improved installation techniques]}],"[{""name"":""Electrical System Installation""","description:""Residential and commercial work""","technologies:""Electrical Systems","Testing Equipment""","duration:""Ongoing""}]","[{""name"":""Clement Longwe""","relationship:""Client""","phone:""+260955678927""","email:""clement.longwe@email.com""}]",6,
